File;Segment;coef_variation;first_diff_max;first_diff_mean;kurtosis;power1;power2;power3;power4;ratio1;ratio2;ratio3;ratio4;sec_diff_max;sec_diff_mean;slopemean;slopevar;spec_entropy;w1;w2;w3;w4;w5;w6;w7;w8;welch1;welch2;welch3;welch4;labels_jules;Skewness;Mobility;Complexity
4;8;-82.18668617;3.78E-05;4.46E-06;-0.007607955;17.01499592;2.649356247;1.314778122;2.538169596;0.723509757;0.112655631;0.055906849;0.107927764;2.50E-05;3.69E-06;-2.17E-08;3.09E-11;0.547800026;3.24E-06;0.000123929;1.38E-09;3.74E-06;0.000238109;1.62E-07;-0.003955335;-3.89E-06;8.36E-10;5.89E-11;4.30E-12;2.00E-12;1;-0.180705282;0.000774807;8.412580051
4;9;5.001883625;4.93E-05;4.36E-06;0.682971152;24.37780757;3.330956893;1.550286457;2.824157165;0.759830735;0.103822438;0.048320805;0.088026022;3.52E-05;3.61E-06;-1.83E-08;3.00E-11;0.49966583;3.01E-06;9.52E-05;2.29E-09;3.67E-06;0.000155988;1.56E-07;-0.002603785;-3.75E-06;1.10E-09;4.51E-11;4.64E-12;2.12E-12;1;-0.178938406;0.001029692;15.74874356
4;10;-5.153011476;0.000185022;4.61E-06;4.599675995;29.43881663;3.502627845;1.899231721;3.44522758;0.768920509;0.091486095;0.049606553;0.089986842;0.000151034;3.80E-06;-2.12E-08;3.64E-11;0.488704239;-1.20E-05;0.000126255;2.23E-09;4.04E-06;0.000273199;1.89E-07;-0.004354681;-4.44E-06;1.34E-09;7.33E-11;9.38E-12;2.64E-12;1;-0.344242777;0.000880747;9.446816994
4;11;-11.36725649;3.13E-05;4.42E-06;0.545614934;34.4863198;2.161925895;1.191066196;2.346738202;0.858166446;0.05379792;0.029638797;0.058396837;2.76E-05;3.70E-06;-9.51E-09;3.08E-11;0.347110799;-3.22E-06;0.000116575;4.90E-11;3.75E-06;0.000259486;1.63E-07;-0.004184962;-3.92E-06;1.11E-09;1.10E-11;2.66E-12;1.71E-12;0;-0.072709876;0.000998101;8.62370132
4;12;0.755769103;4.28E-05;4.47E-06;2.341611357;45.38754177;3.862030152;1.448973496;2.291860878;0.856523755;0.072881686;0.027344072;0.043250487;2.49E-05;3.69E-06;-1.54E-08;3.04E-11;0.346568747;-6.07E-06;0.000127597;-4.60E-10;3.74E-06;0.000346411;1.62E-07;-0.005379614;-3.88E-06;1.56E-09;3.28E-11;3.65E-12;1.81E-12;0;-0.297121177;0.000968074;19.62154637
4;13;40.07287267;0.00014444;4.76E-06;25.54143951;44.94609915;5.005351138;2.753072088;3.881901701;0.794291208;0.088454982;0.048652519;0.06860129;4.09E-05;3.90E-06;-1.69E-08;3.56E-11;0.452548177;5.65E-06;0.000141215;1.30E-09;4.07E-06;0.000389041;1.92E-07;-0.006015819;-4.56E-06;1.76E-09;6.87E-11;1.26E-11;2.74E-12;1;-0.827443338;0.000780411;15.7672063
5;1;-60.49959138;0.00424311;2.27E-05;13.69587006;374.4170949;90.78389219;54.93643106;100.5315969;0.603247602;0.146267801;0.088511638;0.161972959;0.003337929;1.77E-05;-2.05E-07;9.80E-09;0.680685885;-0.000181371;0.002048066;1.05E-08;5.78E-05;0.058448959;4.30E-05;-0.583448713;-0.000620354;3.35E-07;1.71E-08;3.73E-09;1.26E-09;1;-0.352745141;0.000487318;2.612915012
5;2;1.227365829;0.000113803;6.92E-06;1.240379996;17.98200146;9.539132888;4.981489655;6.148993797;0.465232828;0.246797765;0.128881789;0.159087618;6.51E-05;5.50E-06;-1.05E-08;7.20E-11;0.781534769;-9.07E-05;0.000155381;-9.16E-10;5.11E-06;0.001651592;3.70E-07;-0.02326898;-8.47E-06;1.81E-09;2.23E-10;2.42E-11;7.43E-12;1;-0.210700388;0.000572863;16.92583066
5;3;0.637517007;0.004303581;1.33E-05;361.8002883;96.48321144;23.06991436;12.11581785;32.17585038;0.588869558;0.140803463;0.07394692;0.196380059;0.00385314;1.07E-05;1.80E-08;2.01E-09;0.683532038;-5.71E-05;0.000568727;3.19E-08;3.77E-05;0.006233911;1.82E-05;-0.076747336;-0.000253378;2.24E-08;2.51E-09;7.45E-10;6.34E-10;0;-2.090433905;0.00136699;2.303760994
5;4;-28.78898833;0.009120043;7.04E-05;8.909105622;287.1930939;75.84482125;48.07124376;111.7945658;0.549227478;0.145045479;0.091931347;0.213795696;0.007378531;5.72E-05;-1.38E-07;7.78E-08;0.719757298;7.17E-05;0.002498357;-5.39E-08;0.000161158;0.088412289;0.000351393;-0.889817493;-0.004540195;4.87E-07;5.82E-08;2.00E-08;1.15E-08;0;0.335170214;0.001128901;0.281206175
